study;.guidance;.type_digital;condition_arm1;condition_arm2;instrument;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;bl_mean_arm1;bl_sd_arm1;bl_n_arm1;bl_mean_arm2;bl_sd_arm2;bl_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;year;age_group;mean_age;percent_women;recruitment;target_group;rob;.g;.g_se
Kim, 2022;ush;VR;Exposure;wlc;LSAS-SR;self-report;53;23,61;28;68,85;20,25;24;73,5;22,4;28;68,11;18,94;24;28;24;3;8;2022;yadul;23,44;0,385;com;adul;High;0,705493298;0,286904782
Kim, 2022;ush;VR;Exposure;wlc;SIAS;self-report;35,48;15,46;28;40,75;13,21;24;47,71;11,06;28;43;13,28;24;28;24;3;8;2022;yadul;23,44;0,385;com;adul;High;0,358747943;0,280457886
Price, 2011;gsh;VR;cbt;wlc;FNE;self-report;37,78;9,31;25;42,36;10,16;25;41,72;10,65;25;42,88;9,68;25;29;29;4;4;2011;adul;39,08;0,61;com;adul;High;0,462637179;0,286721442
Robillard, 2010 ;gsh;VR;cbt;wlc;FNE;self-report;18;8,21;14;24,73;4,51;15;25,64;6,13;14;24,27;4,51;15;NR;NR;NR;NR;2010;adul;34,9;0,71;oth;adul;High;0,997533866;0,395291986
Robillard, 2010 ;gsh;VR;cbt;wlc;LSAS;cr;47,5;17,83;14;77,93;22,23;15;82,93;32,23;14;79,6;25,9;15;NR;NR;NR;NR;2010;adul;34,9;0,71;oth;adul;High;1,461934663;0,420833701
Robillard, 2010 ;gsh;VR;cbt;wlc;SPS;self-report;18,07;10,87;14;37,47;15,28;15;38,29;16,65;14;33,53;13,4;15;NR;NR;NR;NR;2010;adul;34,9;0,71;oth;adul;High;1,413508257;0,4178034
Robillard, 2010 ;gsh;VR;cbt;wlc;STAI-trait;self-report;42,43;11,22;14;50,07;9,96;15;53,71;9,55;14;49,33;9,19;15;NR;NR;NR;NR;2010;adul;34,9;0,71;oth;adul;High;0,701512541;0,383505714
Schulz, 2016;gsh;internet;cbt;wlc;SIAS;self-report;36,66;15,80177;60;47,44;15,24002;29;50,93;14;60;50,97;13,58;29;60;29;14;5;2016;adul;35,38;0,53;com;adul;Some concerns;0,684034894;0,232000316
Schulz, 2016;gsh;internet;cbt;wlc;SIAS;self-report;34,82;15,64685;60;47,44;15,24002;29;50,48;14,48;60;50,97;13,58;29;60;29;15;5;2016;adul;35,38;0,53;com;adul;Some concerns;0,806265944;0,234233753
Schulz, 2016;gsh;internet;cbt;wlc;SPS;self-report;24,88;13,94274;60;35,63;13,40906;29;38,9;14,04;60;37,35;12,45;29;60;29;14;5;2016;adul;35,38;0,53;com;adul;Some concerns;0,773751292;0,233606033
Schulz, 2016;gsh;internet;cbt;wlc;SPS;self-report;21,69;13,78782;60;35,63;13,40906;29;39,32;11,64;60;37,35;12,45;29;60;29;15;5;2016;adul;35,38;0,53;com;adul;Some concerns;1,011152027;0,23873422
Schwob, 2023;ush;smartphone;Exposure;other ctr;SIAS;self-report;31,04;10,03;39;47,5;13,27;43;51,77;12,22;39;50,61;13,59;43;39;43;1;2;2023;yadul;19,39;0,537;com;stud/oth;High;1,376890044;0,246327606
Schwob, 2023;ush;smartphone;Exposure;other ctr;SPDQ;self-report;11,55;3,4;39;18,41;3,66;43;19,03;3,21;39;19,03;3,21;43;39;43;1;2;2023;yadul;19,39;0,537;com;stud/oth;High;1,920234909;0,267972607
Stolz, 2018;gsh;smartphone;cbt;wlc;LSAS-SR;self-report;53,5;25,56169;60;74;24,64752;30;87,3;19,6;60;82,6;20,7;30;60;30;18;7;2018;adul;34,76;0,6267;com;adul;Some concerns;0,804493301;0,231641682
Stolz, 2018;gsh;internet;cbt;wlc;LSAS-SR;self-report;54,6;24,78709;60;74;24,64752;30;81,5;22,1;60;82,6;20,7;30;60;30;14;7;2018;adul;34,76;0,6267;com;adul;Some concerns;0,77741588;0,231118544
Stolz, 2018;gsh;smartphone;cbt;wlc;SIAS;self-report;33;16,26653;60;41,6;15,33623;30;52,3;10,4;60;46,6;13,9;30;60;30;18;7;2018;adul;34,76;0,6267;com;adul;Some concerns;0,534042715;0,227182502
Stolz, 2018;gsh;internet;cbt;wlc;SIAS;self-report;36;15,49193;60;41,6;15,33623;30;51,3;15;60;46,6;13,9;30;60;30;14;7;2018;adul;34,76;0,6267;com;adul;Some concerns;0,359575876;0,225234861
Stolz, 2018;gsh;smartphone;cbt;wlc;SPS;self-report;22,6;14,71734;60;33,5;14,24079;30;41,1;13,8;60;38,9;12,4;30;60;30;18;7;2018;adul;34,76;0,6267;com;adul;Some concerns;0,742124996;0,230461929
Stolz, 2018;gsh;internet;cbt;wlc;SPS;self-report;21,7;13,94274;60;33,5;14,24079;30;37,1;13,2;60;38,9;12,4;30;60;30;14;7;2018;adul;34,76;0,6267;com;adul;Some concerns;0,833173952;0,23221397
Thew, 2022;gsh;internet;cbt;wlc;FNE;self-report;20,9;6,84;22;24,29;5,05;22;26,41;2,63;22;23,68;5,06;22;22;22;1;1;2022;adul;33,1;0,7;com;adul;Low;0,553743534;0,307444613
Thew, 2022;gsh;internet;cbt;wlc;LSAS-SR;self-report;21,05;21,03;22;74,86;23,81;22;76,05;19,72;22;73;18,9;22;22;22;1;1;2022;adul;33,1;0,7;com;adul;Low;2,352457005;0,395117519
Thew, 2022;gsh;internet;cbt;wlc;SIAS;self-report;25,67;10,71;22;47,57;12,56;22;44,5;12,81;22;48,91;10,75;22;22;22;1;1;2022;adul;33,1;0,7;com;adul;Low;1,842624946;0,361823348
Thew, 2022;gsh;internet;cbt;wlc;SPIN;self-report;15,67;11,38;22;38,9;12,18;22;42,09;10,54;22;40,36;12,84;22;22;22;1;1;2022;adul;33,1;0,7;com;adul;Low;1,935446049;0,367489207
Thew, 2022;gsh;internet;cbt;wlc;SPS;self-report;9,57;7,83;22;23,86;14,46;22;27,18;14,32;22;22,5;13,53;22;22;22;1;1;2022;adul;33,1;0,7;com;adul;Low;1,206898808;0,328743866
Thew, 2022;gsh;internet;cbt;wlc;SPWSS;self-report;13;6,89;22;27,43;7,86;22;27,05;4,99;22;27,55;7,29;22;22;22;1;1;2022;adul;33,1;0,7;com;adul;Low;1,917320007;0,366367894
Titov, 2008a;gsh;internet;cbt;wlc;SIAS;self-report;39,24;12,18;50;50,59;14,15;49;53,82;11,29;50;54,67;12,41;49;50;55;6;6;2008;adul;38,13;0,586;com;adul;Some concerns;0,853721937;0,210111684
Titov, 2008a;gsh;internet;cbt;wlc;SPS;self-report;20,64;10,46;50;33,92;14,7;49;34,02;14,42;50;36,08;16,63;49;50;55;6;6;2008;adul;38,13;0,586;com;adul;Some concerns;1,034645777;0,214241674
Titov, 2008b;gsh;internet;cbt;wlc;SIAS;self-report;39,9;14,67;41;56,8;11,25;40;57,1;13,81;41;57,9;10,19;40;43;45;5;5;2008;adul;36,79;0,6296;com;adul;Some concerns;1,278398088;0,244281526
Titov, 2008b;gsh;internet;cbt;wlc;SPS;self-report;18,12;12,46;41;32,78;14,23;40;34,15;15,55;41;36,68;14,62;40;43;45;5;5;2008;adul;36,79;0,6296;com;adul;Some concerns;1,086600258;0,238368096
Titov, 2008c;gsh;internet;cbt;wlc;SIAS;self-report;40,87;8;31;53,06;15,53;34;54,71;10,59;31;52,09;13,6;34;32;35;2;1;2008;adul;37,97;0,6105;com;adul;Some concerns;0,961825115;0,262600931
Titov, 2008c;ush;internet;cbt;wlc;SIAS;self-report;48,03;13,59;30;53,06;15,53;34;52,5;9,3;30;52,09;13,6;34;31;35;4;1;2008;adul;37,97;0,6105;com;adul;Some concerns;0,339068424;0,252320239
Titov, 2008c;gsh;internet;cbt;wlc;SPS;self-report;18,65;12,2;31;35,44;18,42;34;34,71;15,04;31;34,38;18,77;34;32;35;2;1;2008;adul;37,97;0,6105;com;adul;Some concerns;1,052144965;0,265315941
Titov, 2008c;ush;internet;cbt;wlc;SPS;self-report;28,27;16,27;30;35,44;18,42;34;32,87;17,02;30;34,38;18,77;34;31;35;4;1;2008;adul;37,97;0,6105;com;adul;Some concerns;0,405958992;0,253109609
Wang, 2020;gsh;internet;cbt;wlc;SIAS;self-report;51,21;13,25;33;66,5;13,11;24;70,67;9,36;33;66,04;10,61;24;70;70;37;46;2020;adul;24,92;0,702;com;adul;High;1,143190181;0,289403253
Wang, 2020;ush;internet;cbt;wlc;SIAS;self-report;53,91;14,8;47;66,5;13,11;24;66,62;10,62;47;66,04;10,61;24;70;70;23;46;2020;adul;24,92;0,702;com;adul;High;0,873322606;0,261597914
Wang, 2020;gsh;internet;cbt;wlc;SPS;self-report;40,03;14,99;33;56,29;16,9;24;53,48;13,87;33;55,42;13,74;24;70;70;37;46;2020;adul;24,92;0,702;com;adul;High;1,013937651;0,285026481
Wang, 2020;ush;internet;cbt;wlc;SPS;self-report;44,89;17,54;47;56,29;16,9;24;56,02;14,16;47;55,42;13,74;24;70;70;23;46;2020;adul;24,92;0,702;com;adul;High;0,650669147;0,25688689
Zainal, 2021;ush;VR;Exposure;wlc;SIAS;self-report;25,29;9,5;26;29,8;13,28;18;53,48;9,53;26;46,45;14,54;18;26;18;3;2;2021;yadul;23,3;0,773;com;adul;Some concerns;0,395976454;0,309620196
Zainal, 2021;ush;VR;Exposure;wlc;SPDQ;self-report;9,52;3,51;26;12,53;4,92;18;19,12;3,5;26;16,99;4,42;18;26;18;3;2;2021;yadul;23,3;0,773;com;adul;Some concerns;0,714166884;0,316270329
